iter	Passed	Remaining
1183	109447	75429
1184	109540	75338
1185	109636	75248
1186	109731	75157
1187	109827	75067
1188	109917	74973
1189	110012	74882
1190	110108	74792
1191	110202	74701
1192	110295	74608
1193	110387	74515
1194	110482	74425
1195	110571	74330
1196	110662	74236
1197	110753	74143
1198	110851	74055
1199	110947	73965
1200	111045	73876
1201	111144	73788
1202	111221	73685
1203	111312	73592
1204	111394	73492
1205	111492	73403
1206	111574	73304
1207	111659	73207
1208	111743	73108
1209	111829	73012
1210	111917	72917
1211	111998	72817
1212	112094	72727
1213	112176	72627
1214	112266	72534
1215	112367	72447
1216	112457	72353
1217	112548	72259
1218	112643	72169
1219	112723	72068
1220	112814	71975
1221	112905	71882
1222	112994	71787
1223	113085	71694
1224	113174	71600
1225	113273	71512
1226	113345	71406
1227	113433	71311
1228	113512	71210
1229	113596	71113
1230	113694	71024
1231	113785	70931
1232	113882	70841
1233	113983	70754
1234	114080	70665
1235	114180	70577
1236	114278	70488
1237	114359	70389
1238	114441	70290
1239	114526	70193
1240	114616	70099
1241	114712	70009
1242	114801	69915
1243	114892	69821
1244	114986	69730
1245	115078	69638
1246	115169	69544
1247	115258	69450
1248	115353	69359
1249	115448	69269
1250	115533	69172
1251	115628	69081
1252	115718	68987
1253	115804	68891
1254	115902	68802
1255	115989	68707
1256	116077	68612
1257	116175	68523
1258	116269	68431
1259	116364	68341
1260	116462	68251
1261	116549	68156
1262	116638	68062
1263	116731	67970
1264	116827	67879
1265	116914	67784
1266	116999	67687
1267	117097	67599
1268	117186	67504
1269	117293	67420
1270	117390	67330
1271	117487	67241
1272	117576	67146
1273	117672	67056
1274	117767	66965
1275	117859	66873
1276	117953	66781
1277	118043	66688
1278	118132	66593
1279	118229	66504
1280	118326	66414
1281	118424	66325
1282	118518	66233
1283	118614	66143
1284	118690	66041
1285	118783	65949
1286	118873	65856
1287	118967	65764
1288	119065	65675
1289	119155	65581
1290	119242	65486
1291	119339	65396
1292	119434	65305
1293	119527	65213
1294	119624	65123
1295	119712	65028
1296	119796	64932
1297	119885	64837
1298	119980	64746
1299	120075	64656
1300	120175	64567
1301	120277	64480
1302	120372	64389
1303	120472	64301
1304	120550	64201
1305	120642	64108
1306	120740	64019
1307	120839	63930
1308	120933	63839
1309	121027	63747
1310	121118	63654
1311	121213	63563
1312	121308	63472
1313	121403	63381
1314	121500	63291
1315	121583	63194
1316	121677	63102
1317	121775	63012
1318	121857	62915
1319	121943	62819
1320	122039	62728
1321	122116	62628
1322	122209	62536
1323	122301	62444
1324	122384	62346
1325	122476	62254
1326	122565	62160
1327	122659	62068
1328	122744	61972
1329	122838	61880
1330	122909	61778
1331	123000	61684
1332	123087	61589
1333	123184	61500
1334	123290	61414
1335	123382	61321
1336	123480	61232
1337	123579	61143
1338	123674	61052
1339	123766	60959
1340	123861	60868
1341	123957	60777
1342	124052	60687
1343	124148	60596
1344	124236	60501
1345	124330	60410
1346	124416	60314
1347	124512	60224
1348	124602	60130
1349	124689	60035
1350	124782	59943
1351	124875	59851
1352	124972	59761
1353	125069	59671
1354	125150	59573
1355	125243	59481
1356	125337	59389
1357	125433	59299
1358	125530	59208
1359	125621	59116
1360	125712	59023
1361	125806	58931
1362	125898	58838
1363	125984	58743
1364	126076	58651
1365	126172	58560
1366	126267	58469
1367	126362	58377
1368	126449	58283
1369	126542	58190
1370	126630	58096
1371	126709	57998
1372	126793	57901
1373	126875	57805
1374	126958	57708
1375	127054	57617
1376	127147	57525
1377	127240	57433
1378	127337	57343
1379	127432	57252
1380	127532	57163
1381	127614	57066
1382	127710	56975
1383	127800	56882
1384	127890	56789
1385	127982	56696
1386	128067	56600
1387	128161	56509
1388	128251	56415
1389	128333	56319
1390	128439	56232
1391	128521	56136
1392	128618	56045
1393	128712	55953
1394	128800	55859
1395	128884	55763
1396	128972	55669
1397	129053	55572
1398	129136	55476
1399	129232	55385
1400	129319	55290
1401	129405	55195
1402	129500	55104
1403	129590	55011
1404	129680	54918
1405	129775	54827
1406	129866	54734
1407	129962	54643
1408	130049	54548
1409	130144	54457
1410	130242	54367
1411	130337	54276
1412	130433	54185
1413	130528	54094
1414	130616	54000
1415	130701	53904
1416	130796	53814
1417	130887	53721
1418	130984	53630
1419	131070	53535
1420	131164	53444
1421	131261	53353
1422	131353	53261
1423	131451	53171
1424	131541	53078
1425	131626	52982
1426	131712	52888
1427	131807	52796
1428	131895	52702
1429	131975	52605
1430	132053	52507
1431	132144	52414
1432	132237	52322
1433	132328	52230
1434	132426	52139
1435	132520	52048
1436	132615	51957
1437	132702	51862
1438	132787	51767
1439	132880	51675
1440	132978	51585
1441	133069	51492
1442	133162	51400
1443	133253	51308
1444	133350	51217
1445	133444	51125
1446	133534	51032
1447	133629	50941
1448	133718	50847
1449	133809	50755
1450	133902	50663
1451	133986	50567
1452	134070	50472
1453	134162	50380
1454	134260	50289
1455	134355	50198
1456	134453	50108
1457	134544	50015
1458	134640	49924
1459	134734	49833
1460	134829	49742
1461	134917	49648
1462	135012	49556
1463	135108	49466
1464	135200	49373
1465	135288	49279
1466	135381	49187
1467	135477	49096
1468	135571	49004
1469	135657	48910
1470	135747	48817
1471	135836	48724
1472	135933	48633
1473	136019	48538
1474	136116	48448
1475	136214	48358
1476	136304	48264
1477	136399	48173
1478	136495	48082
1479	136584	47989
1480	136682	47898
1481	136766	47803
1482	136862	47712
1483	136956	47620
1484	137053	47530
1485	137144	47437
1486	137239	47346
1487	137321	47250
1488	137409	47156
1489	137506	47066
1490	137598	46973
1491	137692	46881
1492	137782	46788
1493	137881	46698
1494	137966	46604
1495	138048	46508
1496	138146	46418
1497	138226	46321
1498	138319	46229
1499	138404	46134
1500	138496	46042
1501	138599	45953
1502	138686	45859
1503	138784	45769
1504	138873	45676
1505	138973	45586
1506	139062	45492
1507	139156	45401
1508	139244	45307
1509	139338	45215
1510	139416	45119
1511	139511	45027
1512	139601	44934
1513	139692	44842
1514	139789	44750
1515	139882	44659
1516	139977	44567
1517	140071	44475
1518	140161	44382
1519	140251	44289
1520	140340	44196
1521	140433	44104
1522	140528	44013
1523	140623	43921
1524	140705	43826
1525	140796	43733
1526	140892	43642
1527	140989	43551
1528	141083	43459
1529	141160	43363
1530	141246	43268
1531	141340	43177
1532	141418	43080
1533	141501	42985
1534	141597	42894
1535	141680	42799
1536	141760	42703
1537	141858	42612
1538	141957	42522
1539	142056	42432
1540	142160	42343
1541	142259	42253
1542	142359	42163
1543	142450	42070
1544	142539	41977
1545	142631	41885
1546	142727	41794
1547	142826	41703
1548	142912	41609
1549	143004	41517
1550	143100	41426
1551	143199	41336
1552	143290	41243
1553	143383	41151
1554	143479	41059
1555	143569	40967
1556	143664	40875
1557	143747	40780
1558	143836	40687
1559	143928	40595
1560	144024	40504
1561	144118	40412
1562	144216	40321
1563	144310	40229
1564	144398	40136
1565	144495	40045
1566	144592	39954
1567	144683	39861
1568	144776	39769
1569	144871	39678
1570	144960	39585
1571	145044	39490
1572	145128	39396
1573	145216	39302
1574	145314	39211
1575	145407	39119
1576	145502	39028
1577	145597	38936
1578	145693	38845
1579	145788	38753
1580	145869	38658
1581	145957	38565
1582	146033	38468
1583	146130	38377
1584	146213	38282
1585	146305	38190
1586	146393	38097
1587	146480	38003
1588	146577	37912
1589	146674	37821
1590	146763	37728
1591	146834	37631
1592	146918	37536
1593	147013	37444
1594	147107	37353
1595	147200	37261
1596	147296	37169
1597	147387	37077
1598	147480	36985
1599	147568	36892
1600	147654	36798
1601	147745	36705
1602	147831	36612
1603	147919	36518
1604	148016	36427
1605	148110	36335
1606	148193	36241
1607	148284	36148
1608	148383	36058
1609	148476	35966
1610	148572	35875
1611	148661	35782
1612	148754	35689
1613	148847	35598
1614	148938	35505
1615	149037	35414
1616	149133	35323
1617	149228	35232
1618	149317	35138
1619	149398	35044
1620	149489	34951
1621	149583	34859
1622	149682	34769
1623	149771	34676
1624	149852	34581
1625	149945	34489
1626	150038	34397
1627	150124	34303
1628	150210	34209
1629	150299	34116
1630	150383	34023
1631	150474	33930
1632	150564	33837
1633	150662	33746
1634	150758	33655
1635	150852	33563
1636	150939	33470
1637	151033	33378
1638	151125	33286
1639	151222	33195
1640	151306	33101
1641	151398	33008
1642	151492	32917
1643	151589	32825
1644	151669	32731
1645	151765	32639
1646	151862	32548
1647	151947	32454
1648	152043	32363
1649	152138	32271
1650	152229	32179
1651	152315	32085
1652	152409	31994
1653	152502	31901
1654	152597	31810
1655	152688	31717
1656	152776	31624
1657	152867	31532
1658	152959	31440
1659	153049	31347
1660	153147	31256
